video_id,event_time,price,bull_words,bear_words,narrative_polarity,SRCluster,BreakRetestScore,PatternPressure,MomentumExhaustion,VolConfirmScore,InvalidationDistance,NarrativeConsistency,target_24h,target_72h
UZLp1iQ31DA,2026-01-27 13:00:00,87982.15,34,39,-0.06849314974666919,-0.00010274811424810143,2.0,3.0,0.41792497667883594,0.629813705523748,7.242601093484348,-0.06849314974666919,0.02586615580546736,-0.059571515358513016
QTHTiBsZJfo,2026-01-27 13:00:00,87982.15,97,67,0.1829268281528852,-0.00010274811424810143,2.0,3.0,0.41792497667883594,0.629813705523748,14.492223217404003,0.1829268281528852,0.02586615580546736,-0.059571515358513016
ju6xIJ4vmlQ,2026-01-27 13:00:00,87982.15,19,74,-0.591397843103249,-0.00010274811424810143,2.0,3.0,0.41792497667883594,0.629813705523748,0.1594154894966986,-0.591397843103249,0.02586615580546736,-0.059571515358513016
k413RNvIuMo,2026-01-27 13:00:00,87982.15,49,20,0.42028984898130656,-0.00010274811424810143,2.0,3.0,0.41792497667883594,0.629813705523748,18.42726585673877,0.42028984898130656,0.02586615580546736,-0.059571515358513016
P4SNKGqkJA8,2026-01-27 13:00:00,87982.15,21,23,-0.04545454442148763,-0.00010274811424810143,2.0,-0.6000000000000001,0.41792497667883594,0.629813705523748,,-0.04545454442148763,0.02586615580546736,-0.059571515358513016
Vy3yRONXw_E,2026-01-27 13:00:00,87982.15,14,28,-0.3333333253968256,-0.00010274811424810143,2.0,1.08,0.41792497667883594,0.629813705523748,15.080030416640733,-0.3333333253968256,0.02586615580546736,-0.059571515358513016
liFWIhk7oTQ,2026-01-27 13:00:00,87982.15,67,30,0.3814432950366671,-0.00010274811424810143,2.0,3.0,0.41792497667883594,0.629813705523748,11.814434865325572,0.3814432950366671,0.02586615580546736,-0.059571515358513016
mL93qwvKyGw,2026-01-27 13:00:00,87982.15,42,77,-0.2941176445872467,-0.00010274811424810143,2.0,-0.38,0.41792497667883594,0.629813705523748,55.67889398925616,-0.2941176445872467,0.02586615580546736,-0.059571515358513016
LyE-I32bPfQ,2026-01-27 13:00:00,87982.15,30,49,-0.24050632606954017,-0.00010274811424810143,2.0,0.07000000000000006,0.41792497667883594,0.629813705523748,18.620915672931723,-0.24050632606954017,0.02586615580546736,-0.059571515358513016
n5cBlynt0BM,2026-01-27 13:00:00,87982.15,27,60,-0.37931034046769724,-0.00010274811424810143,2.0,3.0,0.41792497667883594,0.629813705523748,11.814434865325572,-0.37931034046769724,0.02586615580546736,-0.059571515358513016
ddhmsidjUWM,2026-01-27 13:00:00,87982.15,39,32,0.0985915479071613,-0.00010274811424810143,2.0,0.62,0.41792497667883594,0.629813705523748,31.146760529111322,0.0985915479071613,0.02586615580546736,-0.059571515358513016
WtEHXrj-KOQ,2026-01-27 13:00:00,87982.15,35,52,-0.1954022966045713,-0.00010274811424810143,2.0,-0.48,0.41792497667883594,0.629813705523748,21.284661964139538,-0.1954022966045713,0.02586615580546736,-0.059571515358513016
Kj3ZQrE_9_0,2026-01-27 13:00:00,87982.15,49,112,-0.3913043453956252,-0.00010274811424810143,2.0,-0.030000000000000027,0.41792497667883594,0.629813705523748,7.452578887433875,-0.3913043453956252,0.02586615580546736,-0.059571515358513016
pxZYHuHCgXQ,2026-01-27 13:00:00,87982.15,27,44,-0.23943661634596317,-0.00010274811424810143,2.0,2.27,0.41792497667883594,0.629813705523748,6.3282343391161024,-0.23943661634596317,0.02586615580546736,-0.059571515358513016
Y10-V_5ifH4,2026-01-27 13:00:00,87982.15,56,68,-0.09677419276795006,-0.00010274811424810143,2.0,2.88,0.41792497667883594,0.629813705523748,9.659141801457567,-0.09677419276795006,0.02586615580546736,-0.059571515358513016
rsP-s5FLFfs,2026-01-27 13:00:00,87982.15,32,73,-0.39047618675736967,-0.00010274811424810143,2.0,1.0100000000000002,0.41792497667883594,0.629813705523748,,-0.39047618675736967,0.02586615580546736,-0.059571515358513016
7icrTqgQFVo,2026-01-27 13:00:00,87982.15,67,58,0.07199999942400001,-0.00010274811424810143,2.0,2.88,0.41792497667883594,0.629813705523748,8.352903580931502,0.07199999942400001,0.02586615580546736,-0.059571515358513016
sy0miwbNV9Y,2026-01-27 13:00:00,87982.15,21,88,-0.614678893443313,-0.00010274811424810143,2.0,-0.09000000000000008,0.41792497667883594,0.629813705523748,3.258574520879852,-0.614678893443313,0.02586615580546736,-0.059571515358513016
AkqwKzUxaKk,2026-01-27 13:00:00,87982.15,25,80,-0.5238095188208617,-0.00010274811424810143,2.0,-0.41000000000000003,0.41792497667883594,0.629813705523748,4.303565097300703,-0.5238095188208617,0.02586615580546736,-0.059571515358513016
tmigFoA3foQ,2026-01-27 13:00:00,87982.15,0,0,0.0,-0.00010274811424810143,2.0,0.0,0.41792497667883594,0.629813705523748,,0.0,0.02586615580546736,-0.059571515358513016
A-c9nAe7qHU,2026-01-27 13:00:00,87982.15,38,20,0.31034482223543414,-0.00010274811424810143,2.0,1.92,0.41792497667883594,0.629813705523748,10.181637089667992,0.31034482223543414,0.02586615580546736,-0.059571515358513016
tqNn62psqlo,2026-01-27 13:00:00,87982.15,26,49,-0.30666666257777786,-0.00010274811424810143,2.0,3.0,0.41792497667883594,0.629813705523748,3.193262609853549,-0.30666666257777786,0.02586615580546736,-0.059571515358513016
0T1JXakc4fo,2026-01-27 13:00:00,87982.15,27,74,-0.46534653004607396,-0.00010274811424810143,2.0,-1.23,0.41792497667883594,0.629813705523748,34.88358151848122,-0.46534653004607396,0.02586615580546736,-0.059571515358513016
uMy0_4KItMw,2026-01-27 13:00:00,87982.15,42,39,0.03703703657978967,-0.00010274811424810143,2.0,3.0,0.41792497667883594,0.629813705523748,9.52851797940496,0.03703703657978967,0.02586615580546736,-0.059571515358513016
D5y02uf3J_8,2026-01-27 13:00:00,87982.15,15,72,-0.6551724062623862,-0.00010274811424810143,2.0,-0.7100000000000001,0.41792497667883594,0.629813705523748,5.6891572897236875,-0.6551724062623862,0.02586615580546736,-0.059571515358513016
4_JQ9vSDWik,2026-01-27 13:00:00,87982.15,15,27,-0.2857142789115648,-0.00010274811424810143,2.0,0.39999999999999997,0.41792497667883594,0.629813705523748,22.460276362612994,-0.2857142789115648,0.02586615580546736,-0.059571515358513016
2VemXPOWOqI,2026-01-27 13:00:00,87982.15,42,31,0.1506849294426722,-0.00010274811424810143,2.0,3.0,0.41792497667883594,0.629813705523748,31.538631995269142,0.1506849294426722,0.02586615580546736,-0.059571515358513016
uo76K0GlTn8,2026-01-27 13:00:00,87982.15,42,100,-0.40845070134893874,-0.00010274811424810143,2.0,-0.44999999999999996,0.41792497667883594,0.629813705523748,27.685229244717252,-0.40845070134893874,0.02586615580546736,-0.059571515358513016
wigs8MK5eZ4,2026-01-27 13:00:00,87982.15,17,33,-0.31999999360000014,-0.00010274811424810143,2.0,0.019999999999999796,0.41792497667883594,0.629813705523748,3.0691699789035725,-0.31999999360000014,0.02586615580546736,-0.059571515358513016
RgJT6UxGwj8,2026-01-29 13:00:00,88052.88,36,66,-0.2941176441753172,-0.000905932889418314,2.0,0.7000000000000001,-0.8165535574619435,1.0491934283789253,1.9215745213764548,0.2941176441753172,-0.060326930817027336,-0.1105627663740244
OUZT-oEzlNw,2026-01-29 13:00:00,88052.88,15,49,-0.5312499916992189,-0.000905932889418314,2.0,0.020000000000000018,-0.8165535574619435,1.0491934283789253,14.911490427588316,0.5312499916992189,-0.060326930817027336,-0.1105627663740244
3PoviBMwg74,2026-01-29 13:00:00,88052.88,38,71,-0.3027522908004377,-0.000905932889418314,2.0,-0.09000000000000002,-0.8165535574619435,1.0491934283789253,16.90099838965165,0.3027522908004377,-0.060326930817027336,-0.1105627663740244
