open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base,taker_quote,ignore
2025-12-15 00:00:00+00:00,88172.16,90365.85,84450.01,88658.86,116986.93155,2025-12-21 23:59:59.999000+00:00,10219945847.941807,35539789,57391.11409,5013631592.510169,0
2025-12-22 00:00:00+00:00,88658.87,90588.23,86420.0,87952.71,72081.43375,2025-12-28 23:59:59.999000+00:00,6348889839.200649,20890682,34728.89455,3060236293.9381423,0
2025-12-29 00:00:00+00:00,87952.71,91810.0,86806.5,91529.73,85720.05743,2026-01-04 23:59:59.999000+00:00,7636401483.104758,21583904,43238.41054,3852575175.888597,0
2026-01-05 00:00:00+00:00,91529.74,94789.08,89311.0,91013.65,93800.8281,2026-01-11 23:59:59.999000+00:00,8623504659.628109,25971988,46841.50456,4305627293.908048,0
2026-01-12 00:00:00+00:00,91013.66,97924.49,90128.44,93673.14,106130.99963,2026-01-18 23:59:59.999000+00:00,10051234760.896229,24444758,53536.36771,5071930505.01221,0
2026-01-19 00:00:00+00:00,93673.14,93673.14,86074.72,86670.36,100317.13896,2026-01-25 23:59:59.999000+00:00,9015535844.971222,28885501,47347.22201,4256957862.77934,0
2026-01-26 00:00:00+00:00,86670.36,90600.0,75700.0,76968.21,175738.70675,2026-02-01 23:59:59.999000+00:00,14663272758.492456,42955670,82293.79919,6874687175.97302,0
2026-02-02 00:00:00+00:00,76968.22,79360.0,60000.0,70330.38,384283.11539,2026-02-08 23:59:59.999000+00:00,27002279987.18946,70639439,184781.82612,12986825949.51374,0
2026-02-09 00:00:00+00:00,70330.38,71453.53,65118.0,68832.58,163165.87355,2026-02-15 23:59:59.999000+00:00,11176899164.48612,39790922,76673.85622,5250319880.282042,0
2026-02-16 00:00:00+00:00,68832.59,70126.67,65631.83,67643.4,113599.38988,2026-02-22 23:59:59.999000+00:00,7669427231.975145,29256401,53672.86222,3627220613.304864,0
2026-02-23 00:00:00+00:00,67643.39,69988.83,62510.28,67375.94,109349.09942,2026-03-01 23:59:59.999000+00:00,7209694628.696504,28867674,54892.68667,3620446026.168167,0
